City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Airai,TL,72.81,broken clouds,-8.9266,125.4092,Juvinal Martin
331,Port Hardy,CA,42.8,light rain,50.6996,-127.4199,Airport Inn
333,Lagoa,PT,59.99,overcast clouds,39.05,-27.9833,Casa Das Faias
336,Semnan,IR,48.49,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
337,Vao,NC,78.03,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
338,Shakawe,BW,68.25,light rain,-18.3667,21.85,Ditlhapi Guest House
342,Masvingo,ZW,65.48,scattered clouds,-20.0637,30.8277,River Side Lodge
343,Rodrigues Alves,BR,75.42,heavy intensity rain,-7.7379999999999995,-72.6509,Pousada Aconchego
345,Puerto El Triunfo,SV,77.0,clear sky,13.2833,-88.55,Hotel Jardin
347,Wanganui,NZ,73.99,broken clouds,-39.9333,175.05,Aotea Motor Lodge
349,Champerico,GT,64.0,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
350,Quime,BO,52.02,overcast clouds,-16.9833,-67.2167,Hostal Colibri
353,Huilong,CN,57.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
354,Ocos,GT,78.8,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
356,Shenjiamen,CN,54.46,clear sky,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
357,Lazaro Cardenas,MX,73.83,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
359,Mocajuba,BR,75.69,few clouds,-2.5842,-49.5072,Hotel Saylon
360,Ishigaki,JP,73.4,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
361,Victoria,HK,73.0,clear sky,22.2855,114.1577,Mini Hotel Central
362,Kasangulu,CD,75.2,scattered clouds,-4.5911,15.1708,Hôtel le Relais
363,Linfen,CN,47.59,overcast clouds,36.0889,111.5189,Suoxing Hotel
365,Guerrero Negro,MX,63.61,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
369,Polis,CY,53.6,overcast clouds,35.0367,32.4264,Marion
370,Yura,PE,53.6,broken clouds,-16.2522,-71.6797,Hotel Yura
373,Comodoro Rivadavia,AR,55.4,scattered clouds,-45.8667,-67.5,Austral Hotel
386,Manokwari,ID,78.15,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
387,Nishihara,JP,71.6,few clouds,26.1842,127.7558,Minshuku Agaihama
389,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
390,Simav,TR,44.49,clear sky,39.0882,28.9777,Simav Melisa Otel
392,Fukue,JP,57.45,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
399,Jaciara,BR,73.45,overcast clouds,-15.9653,-54.9683,Taba Hotel
400,Tuy Hoa,VN,74.25,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
401,Ukiah,US,57.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
402,Nador,MA,55.4,clear sky,35.174,-2.9287,Hôtel La Giralda
403,Yarada,IN,60.8,mist,17.65,83.2667,Jeevan
405,Bubaque,GW,78.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
406,Buraydah,SA,48.2,broken clouds,26.326,43.975,Mövenpick Hotel Qassim
407,Ambagarh Chauki,IN,55.33,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
409,Port Augusta,AU,77.0,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
410,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
413,Ruteng,ID,74.73,broken clouds,-8.6136,120.4721,Hotel FX72 Ruteng
416,Cukai,MY,77.0,few clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
418,Nanga Eboko,CM,66.94,overcast clouds,4.6833,12.3667,Motel Papi Palace
419,Buchanan,LR,79.14,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
423,Malanje,AO,64.83,light rain,-9.5402,16.340999999999998,Malanje Hotel
425,Ceres,US,62.6,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
427,Phalodi,IN,56.62,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
432,Tabuk,PH,79.38,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
435,Hasaki,JP,57.0,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
437,Maceio,BR,75.2,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
438,Santa Rosalia,MX,60.96,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
444,Gushikawa,JP,69.8,scattered clouds,26.3544,127.8686,Kirari Guest House
445,Simga,IN,55.11,clear sky,21.6333,81.7,OM Hotel & Sweet
446,Galveston,US,59.0,mist,29.3669,-94.9669,Comfort Inn & Suites Texas City
448,Mpika,ZM,62.33,light rain,-11.8343,31.4529,Melodies Lodge
450,Fuyang,CN,56.44,few clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
451,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
455,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
458,Katherine,AU,75.2,light rain,-14.4667,132.2667,Pine Tree Motel
459,Plouzane,FR,42.8,broken clouds,48.3833,-4.6167,Lymina
460,Rio Gallegos,AR,55.4,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
462,Benguela,AO,72.55,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
465,Ballarat,AU,66.0,overcast clouds,-37.5662,143.8496,Quest Ballarat
467,Santiago Del Estero,AR,77.0,clear sky,-27.7951,-64.2615,Hotel Urbano
469,Matara,LK,75.43,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
475,Nohar,IN,52.23,clear sky,29.1833,74.7667,Hotel Eva Inn
477,Shimoda,JP,55.0,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
479,Mehtar Lam,AF,47.12,clear sky,34.6714,70.2094,Fareed Hakamani
480,Goya,AR,68.86,clear sky,-29.14,-59.2626,Apart Costanera
481,San Felipe,VE,71.31,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
484,Puerto Del Rosario,ES,59.0,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
485,Aleksinac,RS,43.0,clear sky,43.5417,21.7078,Hostel Teresianum
486,Harlingen,US,66.0,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
487,Takoradi,GH,79.36,overcast clouds,4.8845,-1.7554,Raybow International Hotel
489,Bushehr,IR,62.6,broken clouds,28.9684,50.8385,Yas Hotel
491,Miram Shah,PK,46.8,clear sky,33.0086,70.0697,Bachelor Hostel
492,De Aar,ZA,72.01,clear sky,-30.6497,24.0123,Stoneburgh B&B
