City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Yellowknife,CA,62.456,-114.3525,-45.99,66,1,3.44,clear sky
53,Aklavik,CA,68.2191,-135.0107,-13.0,70,90,12.66,snow
54,Kutum,SD,14.2,24.6667,63.81,25,11,10.18,few clouds
55,Charters Towers,AU,-20.1,146.2667,77.5,87,100,9.98,overcast clouds
56,Marmarion,GR,38.0484,24.3204,60.8,72,0,13.8,clear sky
57,Ponta Delgada,PT,37.7333,-25.6667,60.8,77,75,14.97,broken clouds
58,Tautira,PF,-17.7333,-149.15,77.0,78,75,2.3,broken clouds
59,Vaini,TO,-21.2,-175.2,77.0,94,75,8.05,moderate rain
60,Butaritari,KI,3.0707,172.7902,80.53,81,42,17.45,scattered clouds
61,Sungairaya,ID,0.7,108.9,76.17,89,100,7.54,overcast clouds
62,Palana,RU,59.1167,159.9667,16.74,91,100,31.36,overcast clouds
63,Bredasdorp,ZA,-34.5322,20.0403,69.8,56,71,9.22,broken clouds
64,Sommerda,DE,51.15,11.1,19.99,86,100,5.01,light snow
65,Tocopilla,CL,-22.092,-70.1979,74.43,57,65,6.69,broken clouds
66,Avarua,CK,-21.2078,-159.775,77.0,88,1,2.3,clear sky
67,Santa Maria,BR,-29.6842,-53.8069,84.2,51,20,6.91,few clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,14.97,snow
69,Saint George,US,37.1041,-113.5841,39.2,45,1,1.03,clear sky
70,Turukhansk,RU,65.8167,87.9833,4.32,94,100,15.64,light snow
71,Carahue,CL,-38.7,-73.1667,68.0,77,75,6.91,broken clouds
72,Husavik,IS,66.0449,-17.3389,32.0,74,75,2.3,broken clouds
73,Hobart,AU,-42.8794,147.3294,53.6,66,90,6.91,overcast clouds
74,Chone,EC,-0.6833,-80.1,77.83,88,100,2.53,light rain
75,Fauske,NO,67.2588,15.3918,23.0,91,98,1.86,overcast clouds
76,Katherine,AU,-14.4667,132.2667,75.2,94,90,5.75,overcast clouds
77,Mar Del Plata,AR,-38.0023,-57.5575,61.0,100,90,12.66,moderate rain
78,Polunochnoye,RU,60.8697,60.4153,-11.61,91,100,5.26,light snow
79,Port Blair,IN,11.6667,92.75,78.98,78,0,8.81,clear sky
80,Igrim,RU,63.1906,64.4162,-5.24,91,100,13.87,snow
81,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,19.57,light snow
82,Hami,CN,42.8,93.45,30.43,81,43,2.95,scattered clouds
83,Provideniya,RU,64.3833,-173.3,-3.48,77,32,16.15,scattered clouds
84,Bontang,ID,0.1333,117.5,79.81,81,100,2.75,overcast clouds
85,Salalah,OM,17.0151,54.0924,75.2,69,40,2.3,scattered clouds
86,Nikolskoye,RU,59.7035,30.7861,15.8,86,75,8.95,light snow
87,Noumea,NC,-22.2763,166.4572,78.01,94,0,2.3,clear sky
88,Mizan Teferi,ET,6.9833,35.5833,68.83,31,61,0.81,broken clouds
89,Ixtapa,MX,20.7,-105.2,77.0,57,1,3.51,clear sky
90,Sitka,US,57.0531,-135.33,28.4,50,40,5.75,scattered clouds
91,Kismayo,SO,-0.3582,42.5454,77.5,81,7,17.56,clear sky
92,Haines Junction,CA,60.7522,-137.5108,-29.2,68,71,1.14,broken clouds
93,Tigil,RU,57.8,158.6667,28.36,93,15,18.07,few clouds
94,Maceio,BR,-9.6658,-35.7353,87.8,58,40,13.8,scattered clouds
95,Khatanga,RU,71.9667,102.5,-31.85,79,0,9.06,clear sky
96,Thompson,CA,55.7435,-97.8558,-32.8,61,75,17.27,snow
97,Bilibino,RU,68.0546,166.4372,-1.7,72,0,5.35,clear sky
98,Hithadhoo,MV,-0.6,73.0833,81.88,73,44,10.07,scattered clouds
99,Sur,OM,22.5667,59.5289,66.02,72,0,5.19,clear sky
100,Oga,IT,46.4631,10.347,52.0,100,90,2.3,snow
101,Mehamn,NO,71.0357,27.8492,23.0,74,40,29.93,light snow
102,Narsaq,GL,60.9167,-46.05,39.2,28,75,43.73,broken clouds
103,Usinsk,RU,65.9939,57.5281,-24.29,85,100,16.82,overcast clouds
104,Chiredzi,ZW,-21.05,31.6667,78.46,64,68,5.7,broken clouds
105,Svetlogorsk,BY,52.6333,29.7333,5.43,92,65,3.8,broken clouds
106,Poum,NC,-20.2333,164.0167,79.43,70,96,1.34,overcast clouds
